text,video_url,created_at,fecha,likes,respuestas,_origen,fuente,text_clean,emojis
yo quiero pero me dicen que no puedo porque no peso de 55 para arriba😔,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 04:56:29+00:00,2024-04-15,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,yo quiero pero me dicen que no puedo porque no peso de 55 para arriba,😔
"yo ya he donado dos veces con 18 años (la tercera no puedo xq tenía la hemoglobina baja, pero sin duda lo intentaré cuando vuelva el bus de la cruz roja a mi pueblo). soy del 2007 y no me pongo así, simplemente voy y hago lo q me dicen. literalmente no duele nada.",https://www.tiktok.com/@nachter/video/7357337111676079392,2026-02-05 07:30:13+00:00,2026-02-05,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"yo ya he donado dos veces con 18 años (la tercera no puedo xq tenía la hemoglobina baja, pero sin duda lo intentaré cuando vuelva el bus de la cruz roja a mi pueblo). soy del 2007 y no me pongo así, simplemente voy y hago lo q me dicen. literalmente no duele nada.",
"yo me acuerdo que a la enfermera casi le da una taquicardia cuando me quedé dormido donando
no estaba mareado ni nada, es que el sillon era comodísimo y estaba calentito😂
se asustó",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 13:49:32+00:00,2024-04-13,819,10,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"yo me acuerdo que a la enfermera casi le da una taquicardia cuando me quedé dormido donando no estaba mareado ni nada, es que el sillon era comodísimo y estaba calentito se asustó",😂
"me encanta el "" ansiedad ""🤣🤣🤣",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 14:51:55+00:00,2024-04-13,217,2,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"me encanta el "" ansiedad """,🤣🤣🤣
"yo llevo 51 donaciones ya y sumando,solo e fallado 2 veces k m an llamado,y sumando 💪💪💪💪💪💪",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-14 18:08:34+00:00,2024-04-14,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"yo llevo 51 donaciones ya y sumando,solo e fallado 2 veces k m an llamado,y sumando",💪💪💪💪💪💪
"yo soy donante desde el año 80 , empecé en el servicio militar y con casi 65 añitos sigo donando 💪",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 18:40:23+00:00,2024-04-13,77,3,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"yo soy donante desde el año 80 , empecé en el servicio militar y con casi 65 añitos sigo donando",💪
"Mi esposo dona 4 veces al año y le han dicho que su tipo de sangre es valiosa, porque puede donar a otros tipos 🥰🙏🏼",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 14:05:14+00:00,2024-04-13,81,6,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"Mi esposo dona 4 veces al año y le han dicho que su tipo de sangre es valiosa, porque puede donar a otros tipos",🥰🙏🏼
yo dono todos los años 1-2 veces y es una gozada lo bien que te sientes sabiendo que es por un buen mayor y encima te tratan super bien y te dan un bocata/snack y bebida que más queréis 😁 os animo 💪,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 18:40:06+00:00,2024-04-13,14,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,yo dono todos los años 1-2 veces y es una gozada lo bien que te sientes sabiendo que es por un buen mayor y encima te tratan super bien y te dan un bocata/snack y bebida que más queréis os animo,😁 💪
no puedes donar sangre con menos de 18 años y si haces la cuenta el de 2010 tiene 14-15,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 21:29:50+00:00,2024-04-13,18,14,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,no puedes donar sangre con menos de 18 años y si haces la cuenta el de 2010 tiene 14-15,
A mi me pusieron 9 bolsas de sangre cuando nació mi hijo desde entonces soy donante,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 22:41:16+00:00,2024-04-13,17,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,A mi me pusieron 9 bolsas de sangre cuando nació mi hijo desde entonces soy donante,
"Sea como sea quien vaya y lo intente y más con miedo, es loable. Un aplauso 👏🏻",https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-14 18:12:46+00:00,2024-04-14,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"Sea como sea quien vaya y lo intente y más con miedo, es loable. Un aplauso",👏🏻
que lindos!,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-16 04:36:39+00:00,2024-04-16,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,que lindos!,
